claim_id,source_id,concept_id,candidate_type,claim_type,operationalizable,missing,priority_score,target_gate,next_artifact,evidence_locator,assets,horizon,stage,features,label,status,statement_summary
C_ML_TRADING_MODELS_BOOTSTRAP,c_ml_trading_models_bootstrap_fragment,C_ML_TRADING_MODELS,evaluation,mechanistic,Y,,12,V1,spec/tests/{test_id}.yaml,spec/concepts/C_ML_TRADING_MODELS.yaml#definition,,1m,bootstrap_internal,auc_roc|overfit_ratio|all|ret_fwd|mae|mfe,performance ~ 0 on randomized timestamps,bootstrap_internal,"ML Trading Models: application of learning models for regime detection or meta-labeling while adhering to strict PIT constraints. Metrics: auc_roc, overfit_ratio. Tests: T_ML_01, T_ML_02."
C_MULTIPLICITY_CONTROL_BOOTSTRAP,c_multiplicity_control_bootstrap_fragment,C_MULTIPLICITY_CONTROL,evaluation,mechanistic,Y,,12,V1,spec/tests/{test_id}.yaml,spec/concepts/C_MULTIPLICITY_CONTROL.yaml#definition,,N/A,bootstrap_internal,q_value|deflated_sharpe|p_value|expectancy,q_value <= 0.05,bootstrap_internal,"Multiplicity Control: statistical correction layer preventing false discoveries when testing many hypotheses on the same data. Metrics: q_value, deflated_sharpe. Tests: T_MULT_01."
C_STRATEGY_BACKTEST_BOOTSTRAP,c_strategy_backtest_bootstrap_fragment,C_STRATEGY_BACKTEST,evaluation,mechanistic,Y,,12,V1,spec/tests/{test_id}.yaml,spec/concepts/C_STRATEGY_BACKTEST.yaml#definition,,N/A,bootstrap_internal,backtest_sharpe|max_dd|all,80% of neighborhood must be profitable,bootstrap_internal,"Strategy Backtesting: long-horizon simulation of candidate edges incorporating parameter sweeps and microstructure stress tests. Metrics: backtest_sharpe, max_dd. Tests: T_BTEST_01, T_BTEST_02."
C_VALIDATION_BOOTSTRAP,c_validation_bootstrap_fragment,C_VALIDATION,evaluation,mechanistic,Y,,12,V1,spec/tests/{test_id}.yaml,spec/concepts/C_VALIDATION.yaml#definition,,event-driven,bootstrap_internal,after_cost_expectancy|stability_score|all,expectancy > 0 in 3+ regimes,bootstrap_internal,"Validation & Statistical Controls: formal process of converting conditional returns into valid edges using cross-validation and regime partitioning. Metrics: after_cost_expectancy, stability_score. Te"
C_DATA_CONTRACTS_BOOTSTRAP,c_data_contracts_bootstrap_fragment,C_DATA_CONTRACTS,execution,mechanistic,Y,,11,Bridge,spec/concepts/C_EXECUTION_COST_MODEL.yaml,spec/concepts/C_DATA_CONTRACTS.yaml#definition,,1m,bootstrap_internal,conformance_rate|monotonicity|all,all non-null core fields,bootstrap_internal,"Venue Data Contracts: formal specification of venue-specific mechanics and data schemas ensuring correct translation into the research data plane. Metrics: conformance_rate, monotonicity. Tests: T_CON"
C_DATA_SCHEMA_BOOTSTRAP,c_data_schema_bootstrap_fragment,C_DATA_SCHEMA,execution,mechanistic,Y,,11,Bridge,spec/concepts/C_EXECUTION_COST_MODEL.yaml,spec/concepts/C_DATA_SCHEMA.yaml#definition,,1m,bootstrap_internal,null_rate|schema_hash|open|high|low|close|volume,"has(timestamp, symbol, run_id)",bootstrap_internal,"Universal Labeling Schema: minimal schema for PIT features, forward labels, and events ensuring cross-symbol consistency. Metrics: null_rate, schema_hash. Tests: T_SCH_01."
C_PROVENANCE_REPLAY_BOOTSTRAP,c_provenance_replay_bootstrap_fragment,C_PROVENANCE_REPLAY,execution,mechanistic,Y,,11,Bridge,spec/concepts/C_EXECUTION_COST_MODEL.yaml,spec/concepts/C_PROVENANCE_REPLAY.yaml#definition,,per run,bootstrap_internal,match_rate|dataset_hash|code_commit|config_hash|rng_seed,valid SHA and hashes present,bootstrap_internal,"Deterministic Replay / Provenance: requirement that every research result is perfectly reproducible from versioned inputs, code, and config. Metrics: match_rate. Tests: T_PROV_01, T_PROV_02."
C_EVALUATION_MODE_BOOTSTRAP,c_evaluation_mode_bootstrap_fragment,C_EVALUATION_MODE,evaluation,mechanistic,Y,,10,V1,spec/tests/{test_id}.yaml,spec/concepts/C_EVALUATION_MODE.yaml#definition,,N/A,bootstrap_internal,invariants_passed_count|evaluation_mode_active,"If any required_invariant fails, evaluation_guard raises EvaluationModeViolation. ablation.py must not write lift_claim_report.parquet. run_walkforward.py must not write oos_claim_report.json.",bootstrap_internal,"Evaluation Mode: A boolean gate that controls whether claim-level lift and OOS artifacts may be produced. When evaluation_mode is True, all required invariants defined in the active hypothesis spec ha"
C_INVARIANTS_BOOTSTRAP,c_invariants_bootstrap_fragment,C_INVARIANTS,evaluation,mechanistic,Y,,10,V1,spec/tests/{test_id}.yaml,spec/concepts/C_INVARIANTS.yaml#definition,,1m,bootstrap_internal,parity_dev|tri_arb|close,basis within carry bounds > 90%,bootstrap_internal,"Invariants: structural constraints and relationships (e.g., parity) used as sanity checks and mispricing anchors. Metrics: parity_dev, tri_arb. Tests: T_INV_01."
C_LITERATURE_REVIEW_BOOTSTRAP,c_literature_review_bootstrap_fragment,C_LITERATURE_REVIEW,evaluation,mechanistic,Y,,10,V1,spec/tests/{test_id}.yaml,spec/concepts/C_LITERATURE_REVIEW.yaml#definition,,N/A,bootstrap_internal,evidence_strength|conversion_rate|text|locator|strength,has_locator(claim) == True,bootstrap_internal,"Literature Review / Meta-Analysis: synthesis of external research to identify new mechanisms and validate existing Atlas assumptions. Metrics: evidence_strength, conversion_rate. Tests: T_LIT_01."
C_MARKET_EFFICIENCY_BOOTSTRAP,c_market_efficiency_bootstrap_fragment,C_MARKET_EFFICIENCY,evaluation,mechanistic,Y,,10,V1,spec/tests/{test_id}.yaml,spec/concepts/C_MARKET_EFFICIENCY.yaml#definition,,1m,bootstrap_internal,variance_ratio|hurst_exponent|return_autocorr|close|volume,"variance_ratio in [0.9, 1.1]",bootstrap_internal,"Market Efficiency: dynamic degree to which market prices reflect all available information, often violating random walk assumptions. Metrics: variance_ratio, hurst_exponent, return_autocorr. Tests: T_"
C_PORTFOLIO_BOOTSTRAP,c_portfolio_bootstrap_fragment,C_PORTFOLIO,evaluation,mechanistic,Y,,10,V1,spec/tests/{test_id}.yaml,spec/concepts/C_PORTFOLIO.yaml#definition,,1m,bootstrap_internal,portfolio_sharpe|turnover|strategy_id|pnl,risk_contribution_i < 0.25,bootstrap_internal,"Portfolio / Allocation / Risk: management of multiple strategy equity curves to achieve a target risk profile via deterministic risk gates. Metrics: portfolio_sharpe, turnover. Tests: T_PORT_01, T_POR"
vol_mean_reversion_v1_BOOTSTRAP,vol_mean_reversion_v1_bootstrap_fragment,vol_mean_reversion_v1,evaluation,heuristic,PARTIAL,PIT|label,8,V1,spec/tests/{test_id}.yaml,spec/concepts/volatility_mean_reversion.yaml#definition,,N/A,bootstrap_internal,,,bootstrap_internal,vol_mean_reversion_v1:
workbench_vol_shock_all_BOOTSTRAP,workbench_vol_shock_all_bootstrap_fragment,workbench_vol_shock_all,event,heuristic,N,definition|PIT|label,8,E-1,spec/events/{event_type}.yaml,spec/concepts/workbench_temp.yaml#definition,,N/A,bootstrap_internal,,,bootstrap_internal,workbench_vol_shock_all:
